ROUTE,FLOW
000001,A-flow
000002,A-flow
000003,A-flow
000004,A-flow
000012,A-flow
000021,A-flow
000034,A-flow
000043,A-flow
010002,A-flow
010006,A-flow
01AE00,A-flow
01AF00,A-flow
01DG02,A-flow
02AE00,A-flow
02AF00,A-flow
02MIES,A-flow
02MIFC,A-flow
030002,A-flow
03AE00,A-flow
03DG02,A-flow
04AE00,A-flow
04BF00,A-flow
04DE00,A-flow
050002,A-flow
050004,A-flow
050006,A-flow
05DE00,A-flow
05DG02,A-flow
05DG04,A-flow
070002,A-flow
07DG02,A-flow
090002,A-flow
09DG02,A-flow
1096NA,A-flow
1097NA,A-flow
1098NA,A-flow
1099NA,A-flow
10M470,A-flow
10M473,A-flow
10M493,A-flow
10MF93,A-flow
10MK40,A-flow
10ML40,A-flow
10ML73,A-flow
10ML83,A-flow
10MN20,A-flow
10MN40,A-flow
10MN53,A-flow
10MO53,A-flow
10MP73,A-flow
10MP93,A-flow
10MQ53,A-flow
10MQ93,A-flow
10MR53,A-flow
10MS53,A-flow
10MT40,A-flow
10MT53,A-flow
10MT73,A-flow
10MT83,A-flow
10MW53,A-flow
10MX53,A-flow
10N553,A-flow
10N653,A-flow
10N753,A-flow
10NQ83,A-flow
10OP40,A-flow
10OQ40,A-flow
10OR40,A-flow
10OR83,A-flow
10OS30,A-flow
10OT43,A-flow
10OV43,A-flow
10OZ43,A-flow
10OZ93,A-flow
10P-43,A-flow
10P-53,A-flow
10P.43,A-flow
10P.53,A-flow
10P253,A-flow
10P353,A-flow
10Q160,A-flow
10Q163,A-flow
10Q173,A-flow
10Q180,A-flow
10Q193,A-flow
10Q460,A-flow
10Q463,A-flow
10Q480,A-flow
10Q493,A-flow
10Q560,A-flow
10Q620,A-flow
10Q640,A-flow
10Q643,A-flow
10Q653,A-flow
10Q663,A-flow
10Q673,A-flow
10Q683,A-flow
10Q740,A-flow
10Q753,A-flow
10Q760,A-flow
10Q763,A-flow
10Q773,A-flow
10Q780,A-flow
10Q783,A-flow
10Q853,A-flow
10Q860,A-flow
10Q863,A-flow
10Q873,A-flow
10Q880,A-flow
10Q893,A-flow
10QA43,A-flow
10QA50,A-flow
10QA53,A-flow
10QA63,A-flow
10QA93,A-flow
10QB43,A-flow
10QC43,A-flow
10QD43,A-flow
10QG10,A-flow
10QH43,A-flow
10QH53,A-flow
10QI43,A-flow
10QI53,A-flow
10QJ00,A-flow
10QJ10,A-flow
10QV33,A-flow
10QV40,A-flow
10QV60,A-flow
10QY53,A-flow
10QY63,A-flow
10QZ53,A-flow
10QZ63,A-flow
10RW40,A-flow
10S700,A-flow
10S710,A-flow
10S830,A-flow
10S840,A-flow
10S940,A-flow
10S943,A-flow
10SP43,A-flow
10SP53,A-flow
10SQ43,A-flow
10SQ53,A-flow
11MA73,A-flow
11MF73,A-flow
11MI73,A-flow
11ML73,A-flow
11Q273,A-flow
11Q360,A-flow
11Q373,A-flow
11Q460,A-flow
11Q463,A-flow
11Q473,A-flow
11Q673,A-flow
11Q860,A-flow
11Q863,A-flow
11Q873,A-flow
11QZ63,A-flow
12LI53,A-flow
12Q043,A-flow
12Q050,A-flow
12Q053,A-flow
12Q060,A-flow
12Q143,A-flow
12Q150,A-flow
12Q153,A-flow
12Q160,A-flow
12Q243,A-flow
12Q250,A-flow
12Q253,A-flow
12Q260,A-flow
12Q443,A-flow
12Q450,A-flow
12Q453,A-flow
12Q460,A-flow
12Q543,A-flow
12Q550,A-flow
12Q553,A-flow
12Q560,A-flow
12Q860,A-flow
12QK53,A-flow
12QK60,A-flow
12QL53,A-flow
12QL60,A-flow
12QM43,A-flow
12QM50,A-flow
12QM53,A-flow
12QM60,A-flow
12QO43,A-flow
12QO50,A-flow
12QO53,A-flow
12QO60,A-flow
12QU60,A-flow
12RT23,A-flow
13MV73,A-flow
13QF60,A-flow
13QF63,A-flow
13QG60,A-flow
13QN53,A-flow
13RQ30,A-flow
13RS30,A-flow
14PN43,A-flow
14PO43,A-flow
14PQ43,A-flow
14QF43,A-flow
14QF50,A-flow
14QF53,A-flow
14QZ53,A-flow
15M063,A-flow
15M163,A-flow
15M260,A-flow
15M463,A-flow
15M563,A-flow
15M600,A-flow
15M863,A-flow
15MF63,A-flow
15MQ63,A-flow
15MV63,A-flow
15MY63,A-flow
15N063,A-flow
15Q063,A-flow
15Q163,A-flow
15Q263,A-flow
15Q463,A-flow
15Q963,A-flow
15QA63,A-flow
15QK63,A-flow
15QL63,A-flow
15QP63,A-flow
15QQ63,A-flow
15RD00,A-flow
15RD53,A-flow
15RE00,A-flow
15RE10,A-flow
15RF00,A-flow
15RF10,A-flow
15RG00,A-flow
15RH00,A-flow
15RH43,A-flow
15RI00,A-flow
15RI43,A-flow
15RJ00,A-flow
15RK00,A-flow
15RK43,A-flow
15RL00,A-flow
15RL43,A-flow
15RM00,A-flow
15RN00,A-flow
16M373,A-flow
16MA73,A-flow
16MF73,A-flow
16MJ70,A-flow
16N070,A-flow
