QNAME,QDATU,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,RATIO,EFFORT,PRODUCTIVITY
BONDOA4,2026-02-23,A-flow,unknown_floor,2,2,1.0,1.0,2.0
CHERNP3,2026-02-23,A-flow,second_floor,13,13,1.0,1.0,13.0
CHERNP3,2026-02-23,A-flow,unknown_floor,8,24,3.0,1.0,8.0
CHERNP3,2026-02-23,B-flow,ground_floor,82,82,1.0,1.25,65.6
CHERNP3,2026-02-23,B-flow,second_floor,81,81,1.0,4.0,20.25
CHERNP3,2026-02-23,B-flow,unknown_floor,31,52,1.68,4.0,7.75
COMSAG2,2026-02-23,B-flow,unknown_floor,3,3,1.0,1.75,1.71
COSTAR9,2026-02-23,B-flow,ground_floor,289,301,1.04,5.25,55.05
ELASHA2,2026-02-23,A-flow,first_floor,35,95,2.71,2.0,17.5
ELASHA2,2026-02-23,A-flow,unknown_floor,1,1,1.0,1.0,1.0
ELASHA2,2026-02-23,B-flow,first_floor,195,231,1.18,3.25,60.0
ELASHA2,2026-02-23,B-flow,unknown_floor,14,14,1.0,2.25,6.22
EMMANA3,2026-02-23,A-flow,first_floor,76,925,12.17,2.0,38.0
EMMANA3,2026-02-23,B-flow,second_floor,159,159,1.0,1.25,127.2
EMMANA3,2026-02-23,B-flow,unknown_floor,21,131,6.24,1.25,16.8
EMMANO3,2026-02-23,A-flow,first_floor,9,9,1.0,1.0,9.0
EMMANO3,2026-02-23,B-flow,first_floor,285,1298,4.55,4.25,67.06
EMMANO3,2026-02-23,B-flow,unknown_floor,72,72,1.0,3.5,20.57
EMMANO3,2026-02-23,unknown_flow,first_floor,3,50,16.67,1.0,3.0
GHAMIR2,2026-02-23,B-flow,ground_floor,75,75,1.0,0.5,150.0
GRYGOA3,2026-02-23,A-flow,first_floor,143,1318,9.22,6.25,22.88
GRYGOA3,2026-02-23,A-flow,unknown_floor,8,8,1.0,2.25,3.56
HERNAL215,2026-02-23,B-flow,ground_floor,1,1,1.0,1.0,1.0
HRLINOUB10,2026-02-23,A-flow,second_floor,434,434,1.0,5.25,82.67
HRLINOUB10,2026-02-23,A-flow,unknown_floor,6,6,1.0,1.0,6.0
HRLOUB211,2026-02-23,A-flow,first_floor,2,2,1.0,1.0,2.0
HRLOUB211,2026-02-23,A-flow,ground_floor,49,49,1.0,1.0,49.0
HRLOUB211,2026-02-23,A-flow,second_floor,1,1,1.0,1.0,1.0
JERENS2,2026-02-23,B-flow,second_floor,227,231,1.02,5.25,43.24
JERENS2,2026-02-23,B-flow,unknown_floor,144,388,2.69,6.25,23.04
KRAVCS2,2026-02-23,A-flow,second_floor,542,542,1.0,4.25,127.53
KRAVCS2,2026-02-23,A-flow,unknown_floor,7,7,1.0,2.75,2.55
KRUMIV2,2026-02-23,B-flow,unknown_floor,2,2,1.0,1.0,2.0
MIELNK2,2026-02-23,B-flow,first_floor,196,575,2.93,3.25,60.31
MIELNK2,2026-02-23,B-flow,unknown_floor,10,10,1.0,3.25,3.08
MUSIIM2,2026-02-23,A-flow,ground_floor,140,140,1.0,4.25,32.94
NAGYK2,2026-02-23,B-flow,second_floor,15,15,1.0,3.75,4.0
NAGYK2,2026-02-23,B-flow,unknown_floor,4,13,3.25,2.0,2.0
NAGYK2,2026-02-23,unknown_flow,second_floor,7,7,1.0,2.75,2.55
OFFERR2,2026-02-23,A-flow,second_floor,79,79,1.0,2.0,39.5
OFFERR2,2026-02-23,A-flow,unknown_floor,19,67,3.53,2.0,9.5
