QNAME,QDATU,HOUR,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,RATIO,EFFORT,PRODUCTIVITY
BONDOA4,2026-02-23,12,A-flow,unknown_floor,2,2,1.0,1.0,2.0
CHERNP3,2026-02-23,7,B-flow,ground_floor,49,49,1.0,0.5,98.0
CHERNP3,2026-02-23,8,B-flow,ground_floor,33,33,1.0,0.75,44.0
CHERNP3,2026-02-23,9,B-flow,second_floor,16,16,1.0,1.0,16.0
CHERNP3,2026-02-23,9,B-flow,unknown_floor,1,10,10.0,1.0,1.0
CHERNP3,2026-02-23,10,B-flow,second_floor,46,46,1.0,1.0,46.0
CHERNP3,2026-02-23,10,B-flow,unknown_floor,24,36,1.5,1.0,24.0
CHERNP3,2026-02-23,11,B-flow,second_floor,8,8,1.0,1.0,8.0
CHERNP3,2026-02-23,11,B-flow,unknown_floor,1,1,1.0,1.0,1.0
CHERNP3,2026-02-23,12,A-flow,second_floor,13,13,1.0,1.0,13.0
CHERNP3,2026-02-23,12,A-flow,unknown_floor,8,24,3.0,1.0,8.0
CHERNP3,2026-02-23,12,B-flow,second_floor,11,11,1.0,1.0,11.0
CHERNP3,2026-02-23,12,B-flow,unknown_floor,5,5,1.0,1.0,5.0
COMSAG2,2026-02-23,8,B-flow,unknown_floor,2,2,1.0,0.75,2.67
COMSAG2,2026-02-23,9,B-flow,unknown_floor,1,1,1.0,1.0,1.0
COSTAR9,2026-02-23,7,B-flow,ground_floor,84,88,1.05,0.5,168.0
COSTAR9,2026-02-23,8,B-flow,ground_floor,95,95,1.0,0.75,126.67
COSTAR9,2026-02-23,9,B-flow,ground_floor,19,23,1.21,1.0,19.0
COSTAR9,2026-02-23,10,B-flow,ground_floor,41,45,1.1,1.0,41.0
COSTAR9,2026-02-23,11,B-flow,ground_floor,13,13,1.0,1.0,13.0
COSTAR9,2026-02-23,12,B-flow,ground_floor,37,37,1.0,1.0,37.0
ELASHA2,2026-02-23,7,B-flow,first_floor,77,113,1.47,0.5,154.0
ELASHA2,2026-02-23,7,B-flow,unknown_floor,4,4,1.0,0.5,8.0
ELASHA2,2026-02-23,8,B-flow,first_floor,34,34,1.0,0.75,45.33
ELASHA2,2026-02-23,8,B-flow,unknown_floor,4,4,1.0,0.75,5.33
ELASHA2,2026-02-23,9,B-flow,first_floor,52,52,1.0,1.0,52.0
ELASHA2,2026-02-23,10,A-flow,first_floor,4,42,10.5,1.0,4.0
ELASHA2,2026-02-23,10,B-flow,first_floor,32,32,1.0,1.0,32.0
ELASHA2,2026-02-23,10,B-flow,unknown_floor,6,6,1.0,1.0,6.0
ELASHA2,2026-02-23,12,A-flow,first_floor,31,53,1.71,1.0,31.0
ELASHA2,2026-02-23,12,A-flow,unknown_floor,1,1,1.0,1.0,1.0
EMMANA3,2026-02-23,7,B-flow,second_floor,70,70,1.0,0.5,140.0
EMMANA3,2026-02-23,7,B-flow,unknown_floor,19,129,6.79,0.5,38.0
EMMANA3,2026-02-23,8,B-flow,second_floor,89,89,1.0,0.75,118.67
EMMANA3,2026-02-23,8,B-flow,unknown_floor,2,2,1.0,0.75,2.67
EMMANA3,2026-02-23,11,A-flow,first_floor,16,27,1.69,1.0,16.0
EMMANA3,2026-02-23,12,A-flow,first_floor,60,898,14.97,1.0,60.0
EMMANO3,2026-02-23,6,B-flow,first_floor,7,7,1.0,1.0,7.0
EMMANO3,2026-02-23,6,B-flow,unknown_floor,2,2,1.0,1.0,2.0
EMMANO3,2026-02-23,7,B-flow,first_floor,105,562,5.35,0.5,210.0
