QNAME,QDATU,FLOW,FLOOR,BOXES_PACKED,EFFORT,PRODUCTIVITY
AHSANR2,20260226,B-flow,ground_floor,391,8.0,48.88
BAJAMA2,20260226,B-flow,first_floor,223,6.0,37.17
BANASM3,20260226,B-flow,ground_floor,2,2.0,1.0
BAZIUK2,20260226,B-flow,second_floor,110,4.25,25.88
BOBIAI2,20260226,B-flow,ground_floor,132,5.25,25.14
BODNAA2,20260226,B-flow,first_floor,163,6.5,25.08
BODNAA2,20260226,B-flow,second_floor,90,2.25,40.0
BOIKOY2,20260226,A-flow,ground_floor,412,7.0,58.86
CHALKA2,20260226,B-flow,first_floor,39,1.0,39.0
CHALKA2,20260226,B-flow,second_floor,44,3.25,13.54
CHERNP3,20260226,B-flow,ground_floor,161,8.0,20.12
COSTAA21,20260226,B-flow,first_floor,396,9.0,44.0
CUIJPF1,20260226,B-flow,first_floor,9,0.5,18.0
CUIJPF1,20260226,B-flow,ground_floor,247,6.5,38.0
DIRVOA2,20260226,B-flow,ground_floor,1,1.0,1.0
DIRVOA2,20260226,B-flow,second_floor,1,0.75,1.33
DZIEDM2,20260226,B-flow,second_floor,62,2.0,31.0
EMMANA3,20260226,B-flow,first_floor,147,5.75,25.57
EMMANA3,20260226,B-flow,second_floor,1,0.5,2.0
EMMANO3,20260226,B-flow,first_floor,237,6.25,37.92
FLAKSD2,20260226,B-flow,second_floor,71,2.0,35.5
FURGAK2,20260226,B-flow,second_floor,470,8.0,58.75
FURMAE2,20260226,B-flow,second_floor,77,4.25,18.12
GHAMIR2,20260226,B-flow,ground_floor,35,3.75,9.33
GRYGOT2,20260226,A-flow,first_floor,30,6.5,4.62
HRUSHA2,20260226,A-flow,second_floor,52,8.0,6.5
ILIEL3,20260226,B-flow,second_floor,76,5.0,15.2
JANISM3,20260226,A-flow,first_floor,1,0.5,2.0
JANISM3,20260226,A-flow,second_floor,30,6.5,4.62
JASIUG2,20260226,B-flow,second_floor,309,8.0,38.62
KAWAM2,20260226,A-flow,first_floor,16,3.38,4.73
KAWAM2,20260226,A-flow,second_floor,37,4.63,7.99
KRUMIK2,20260226,B-flow,ground_floor,77,2.75,28.0
KUPCZP2,20260226,B-flow,second_floor,202,4.5,44.89
LAHODO2,20260226,B-flow,second_floor,124,5.25,23.62
LANGRR3,20260226,B-flow,ground_floor,152,8.0,19.0
LAZICM2,20260226,A-flow,ground_floor,8,1.0,8.0
LEWANO2,20260226,A-flow,first_floor,37,7.0,5.29
LILAIA2,20260226,B-flow,ground_floor,2,0.75,2.67
LOPSZB2,20260226,A-flow,ground_floor,64,3.75,17.07
MAANAR2,20260226,A-flow,first_floor,83,9.0,9.22
MAKSYJ3,20260226,B-flow,first_floor,116,2.75,42.18
MILERD2,20260226,A-flow,first_floor,34,7.0,4.86
MOSTAA3,20260226,A-flow,first_floor,202,8.0,25.25
MUSIIM2,20260226,A-flow,ground_floor,177,6.75,26.22
NOVODP2,20260226,B-flow,ground_floor,197,6.0,32.83
OUSTAK2,20260226,B-flow,ground_floor,28,2.0,14.0
PASCUJ13,20260226,A-flow,ground_floor,335,3.75,89.33
PATSOA2,20260226,B-flow,first_floor,1,0.75,1.33
PELAYM6,20260226,B-flow,second_floor,144,4.0,36.0
PINCHM2,20260226,B-flow,ground_floor,1,0.75,1.33
PODLEL2,20260226,A-flow,first_floor,46,7.5,6.13
PODLEL2,20260226,A-flow,second_floor,1,0.5,2.0
PODLEM2,20260226,B-flow,first_floor,209,4.25,49.18
RACCOV2,20260226,A-flow,first_floor,11,3.26,3.37
RACCOV2,20260226,A-flow,second_floor,46,4.51,10.2
SAUSYK2,20260226,B-flow,first_floor,112,5.25,21.33
SHUSHV2,20260226,B-flow,second_floor,143,7.25,19.72
SHYDLL2,20260226,B-flow,first_floor,188,5.0,37.6
SIEPAP2,20260226,B-flow,first_floor,3,1.38,2.17
SIEPAP2,20260226,B-flow,ground_floor,32,4.13,7.75
SMIRNA5,20260226,B-flow,second_floor,198,4.25,46.59
SOROKJ3,20260226,B-flow,second_floor,35,1.75,20.0
SVETIJ2,20260226,B-flow,ground_floor,47,3.5,13.43
SYCHOM2,20260226,B-flow,ground_floor,74,3.75,19.73
SZELWJ2,20260226,A-flow,ground_floor,51,5.25,9.71
TAMALG2,20260226,B-flow,ground_floor,8,1.0,8.0
TAVERJ13,20260226,B-flow,first_floor,1,1.0,1.0
TAVERJ13,20260226,B-flow,second_floor,218,7.0,31.14
TOMASA13,20260226,A-flow,ground_floor,26,6.5,4.0
TSIRGC2,20260226,B-flow,first_floor,422,6.0,70.33
UDRAL2,20260226,A-flow,first_floor,1,1.0,1.0
UDRAL2,20260226,A-flow,ground_floor,41,2.25,18.22
URSACD2,20260226,B-flow,second_floor,1,0.5,2.0
VAHERL2,20260226,B-flow,second_floor,49,2.0,24.5
VAHERV2,20260226,B-flow,first_floor,133,4.25,31.29
VAVDII2,20260226,B-flow,second_floor,50,2.0,25.0
VAVDIY2,20260226,A-flow,ground_floor,1,0.75,1.33
VERVEJ3,20260226,B-flow,first_floor,87,2.5,34.8
VERVEJ3,20260226,B-flow,ground_floor,151,5.5,27.45
VRIESJ4,20260226,B-flow,ground_floor,124,4.25,29.18
WANGKS2,20260226,B-flow,first_floor,356,9.0,39.56
WARCHP2,20260226,B-flow,first_floor,205,8.0,25.62
ZAMBRM14,20260226,A-flow,first_floor,3,0.75,4.0
ZLATEV3,20260226,B-flow,ground_floor,62,1.75,35.43
ZOLOTO2,20260226,B-flow,ground_floor,162,6.25,25.92
