QNAME,QDATU,HOUR,FLOW,FLOOR,BOXES_PACKED,EFFORT,PRODUCTIVITY
BAJAMA2,20260225,15,B-flow,second_floor,34,1.0,34.0
BAJAMA2,20260225,16,B-flow,second_floor,40,1.0,40.0
BAJAMA2,20260225,17,B-flow,second_floor,23,0.75,30.67
BAJAMA2,20260225,18,B-flow,second_floor,19,1.0,19.0
BAJAMA2,20260225,19,B-flow,second_floor,4,0.5,8.0
BAJAMA2,20260225,20,B-flow,second_floor,56,1.0,56.0
BAJAMA2,20260225,21,B-flow,second_floor,42,0.75,56.0
BAJAMA2,20260225,22,B-flow,second_floor,23,1.0,23.0
BANASM3,20260225,15,B-flow,ground_floor,6,1.0,6.0
BANASM3,20260225,16,B-flow,ground_floor,5,1.0,5.0
BANASM3,20260225,17,B-flow,ground_floor,14,0.75,18.67
BANASM3,20260225,18,B-flow,ground_floor,7,1.0,7.0
BODNAA2,20260225,7,B-flow,first_floor,16,1.0,16.0
BODNAA2,20260225,8,B-flow,first_floor,18,1.0,18.0
BODNAA2,20260225,9,B-flow,first_floor,23,1.0,23.0
BODNAA2,20260225,10,B-flow,first_floor,24,0.75,32.0
BODNAA2,20260225,11,B-flow,first_floor,14,0.5,28.0
BODNAA2,20260225,12,B-flow,first_floor,40,1.0,40.0
BODNAA2,20260225,13,B-flow,first_floor,13,0.75,17.33
BODNAA2,20260225,14,B-flow,first_floor,33,1.0,33.0
BODNAA2,20260225,15,B-flow,first_floor,5,1.0,5.0
BOIARR2,20260225,20,A-flow,ground_floor,2,1.0,2.0
BOIARR2,20260225,21,A-flow,ground_floor,2,0.75,2.67
BOIARR2,20260225,22,A-flow,ground_floor,27,1.0,27.0
BOIKOY2,20260225,15,A-flow,ground_floor,8,1.0,8.0
BOIKOY2,20260225,16,A-flow,ground_floor,11,1.0,11.0
BOIKOY2,20260225,17,A-flow,ground_floor,5,0.75,6.67
BOIKOY2,20260225,19,A-flow,ground_floor,13,0.5,26.0
