QNAME,QDATU,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,WEIGHT_PICKED,EFFORT,RATIO,PRODUCTIVITY,WEIGHT_INTENSITY,ITEM_INTENSITY
BODNAA2,2026-02-26,B-flow,first_floor,91,175,36.02,2.0,1.92,45.5,0.85,0.9
BONDOA4,2026-02-26,A-flow,ground_floor,10,10,463.2,1.5,1.0,6.67,16.38,1.0
BONDOA4,2026-02-26,B-flow,ground_floor,30,67,575.03,2.75,2.23,10.91,12.73,1.92
CHERNP3,2026-02-26,B-flow,ground_floor,33,33,58.58,1.0,1.0,33.0,1.18,0.86
CIRHAM2,2026-02-26,B-flow,ground_floor,258,262,253.73,5.25,1.02,49.14,0.65,0.87
COSTAA21,2026-02-26,B-flow,first_floor,13,13,2.21,1.0,1.0,13.0,0.36,0.47
COSTAR9,2026-02-26,B-flow,ground_floor,354,370,312.76,4.88,1.05,72.54,0.59,0.9
COSTAR9,2026-02-26,unknown_flow,ground_floor,1,1,1.1,0.38,1.0,2.63,1.01,0.73
DVORST2,2026-02-26,B-flow,first_floor,59,307,47.82,1.0,5.2,59.0,1.74,2.42
ELASHA2,2026-02-26,B-flow,first_floor,427,636,145.94,5.25,1.49,81.33,0.73,0.69
EMMANA3,2026-02-26,B-flow,first_floor,55,67,46.13,1.0,1.22,55.0,1.8,0.57
EMMANA3,2026-02-26,unknown_flow,first_floor,2,2,0.82,0.5,1.0,4.0,0.6,0.09
EMMANO3,2026-02-26,B-flow,first_floor,172,440,75.76,4.0,2.56,43.0,0.94,1.19
FLAKSD2,2026-02-26,B-flow,second_floor,140,235,84.06,3.38,1.68,41.42,0.92,0.75
FLAKSD2,2026-02-26,unknown_flow,second_floor,2,2,0.71,0.38,1.0,5.26,0.6,0.59
FURMAE2,2026-02-26,B-flow,second_floor,48,100,33.93,2.5,2.08,19.2,1.08,0.93
FURMAE2,2026-02-26,unknown_flow,second_floor,10,30,5.11,0.75,3.0,13.33,0.87,1.77
GAMBIA3,2026-02-26,A-flow,first_floor,179,255,265.36,5.25,1.42,34.1,1.14,0.93
GHAMIR2,2026-02-26,B-flow,ground_floor,98,98,141.21,2.0,1.0,49.0,0.96,0.86
GRYGOA3,2026-02-26,A-flow,first_floor,169,345,165.46,5.25,2.04,32.19,0.75,1.33
HRLOUB211,2026-02-26,A-flow,first_floor,16,16,18.18,1.0,1.0,16.0,0.87,0.65
HRLOUB27,2026-02-26,B-flow,first_floor,10,10,2.52,1.0,1.0,10.0,0.54,0.47
HRYTSD2,2026-02-26,A-flow,first_floor,161,252,204.46,5.25,1.57,30.67,0.98,1.02
IACOBC2,2026-02-26,B-flow,first_floor,182,575,77.41,2.88,3.16,63.19,0.91,1.47
IACOBC2,2026-02-26,unknown_flow,first_floor,2,56,0.68,0.38,28.0,5.26,0.49,2.48
ILIEL3,2026-02-26,B-flow,second_floor,45,168,23.21,2.0,3.73,22.5,0.79,1.67
JERENS2,2026-02-26,B-flow,second_floor,243,661,186.77,3.88,2.72,62.63,1.18,1.22
JERENS2,2026-02-26,unknown_flow,second_floor,17,17,14.19,1.38,1.0,12.32,1.41,0.59
KRAVCS2,2026-02-26,A-flow,second_floor,234,327,175.23,5.25,1.4,44.57,0.99,1.0
KRUMIV2,2026-02-26,B-flow,second_floor,323,849,199.76,5.25,2.63,61.52,0.95,1.18
MIELNK2,2026-02-26,B-flow,first_floor,239,299,192.62,3.75,1.25,63.73,1.73,0.58
MUSIIM2,2026-02-26,A-flow,ground_floor,175,175,334.84,4.75,1.0,36.84,0.68,1.0
NAGYK2,2026-02-26,B-flow,second_floor,27,41,10.69,2.88,1.52,9.38,0.61,0.68
