QNAME,QDATU,HOUR,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,WEIGHT_PICKED,RATIO,EFFORT,PRODUCTIVITY,WEIGHT_INTENSITY,ITEM_INTENSITY
BODNAA2,2026-02-26,7,B-flow,first_floor,87,171,34.64,1.97,1.0,87.0,0.85,0.92
BODNAA2,2026-02-26,8,B-flow,first_floor,4,4,1.38,1.0,1.0,4.0,0.74,0.47
BONDOA4,2026-02-26,8,A-flow,ground_floor,4,4,185.28,1.0,1.0,4.0,16.38,1.0
BONDOA4,2026-02-26,9,A-flow,ground_floor,6,6,277.92,1.0,0.5,12.0,16.38,1.0
BONDOA4,2026-02-26,9,B-flow,ground_floor,6,6,200.74,1.0,0.5,12.0,22.22,0.86
BONDOA4,2026-02-26,10,B-flow,ground_floor,19,55,206.0,2.89,0.75,25.33,7.2,2.48
BONDOA4,2026-02-26,11,B-flow,ground_floor,1,1,66.41,1.0,0.5,2.0,44.11,0.86
BONDOA4,2026-02-26,12,B-flow,ground_floor,4,5,101.88,1.25,1.0,4.0,16.92,1.07
CHERNP3,2026-02-26,7,B-flow,ground_floor,33,33,58.58,1.0,1.0,33.0,1.18,0.86
CIRHAM2,2026-02-26,7,B-flow,ground_floor,8,12,6.24,1.5,1.0,8.0,0.52,1.29
CIRHAM2,2026-02-26,8,B-flow,ground_floor,28,28,16.33,1.0,1.0,28.0,0.39,0.86
CIRHAM2,2026-02-26,9,B-flow,ground_floor,33,33,42.93,1.0,1.0,33.0,0.86,0.86
CIRHAM2,2026-02-26,10,B-flow,ground_floor,106,106,86.05,1.0,0.75,141.33,0.54,0.86
CIRHAM2,2026-02-26,11,B-flow,ground_floor,38,38,22.05,1.0,0.5,76.0,0.39,0.86
CIRHAM2,2026-02-26,12,B-flow,ground_floor,45,45,80.13,1.0,1.0,45.0,1.18,0.86
COSTAA21,2026-02-26,12,B-flow,first_floor,13,13,2.21,1.0,1.0,13.0,0.37,0.47
COSTAR9,2026-02-26,7,B-flow,ground_floor,90,90,33.26,1.0,1.0,90.0,0.25,0.86
COSTAR9,2026-02-26,8,B-flow,ground_floor,100,116,65.57,1.16,1.0,100.0,0.44,1.0
COSTAR9,2026-02-26,9,B-flow,ground_floor,51,51,55.14,1.0,1.0,51.0,0.72,0.86
COSTAR9,2026-02-26,10,B-flow,ground_floor,61,61,116.15,1.0,0.38,162.67,1.26,0.86
COSTAR9,2026-02-26,10,unknown_flow,ground_floor,1,1,1.1,1.0,0.38,2.67,1.01,0.73
COSTAR9,2026-02-26,11,B-flow,ground_floor,34,34,11.33,1.0,0.5,68.0,0.22,0.86
COSTAR9,2026-02-26,12,B-flow,ground_floor,18,18,31.31,1.0,1.0,18.0,1.16,0.86
DVORST2,2026-02-26,7,B-flow,first_floor,59,307,47.82,5.2,1.0,59.0,1.74,2.42
ELASHA2,2026-02-26,7,B-flow,first_floor,89,107,37.32,1.2,1.0,89.0,0.9,0.56
ELASHA2,2026-02-26,8,B-flow,first_floor,97,177,33.4,1.82,1.0,97.0,0.74,0.85
ELASHA2,2026-02-26,9,B-flow,first_floor,65,161,19.67,2.48,1.0,65.0,0.65,1.15
ELASHA2,2026-02-26,10,B-flow,first_floor,71,86,26.83,1.21,0.75,94.67,0.81,0.56
ELASHA2,2026-02-26,11,B-flow,first_floor,55,55,13.13,1.0,0.5,110.0,0.51,0.47
ELASHA2,2026-02-26,12,B-flow,first_floor,50,50,15.59,1.0,1.0,50.0,0.67,0.47
EMMANA3,2026-02-26,11,B-flow,first_floor,23,23,9.38,1.0,0.5,46.0,0.87,0.47
EMMANA3,2026-02-26,12,B-flow,first_floor,32,44,36.75,1.38,0.5,64.0,2.46,0.64
EMMANA3,2026-02-26,12,unknown_flow,first_floor,2,2,0.82,1.0,0.5,4.0,0.6,0.09
EMMANO3,2026-02-26,6,B-flow,first_floor,6,6,1.72,1.0,1.0,6.0,0.61,0.47
EMMANO3,2026-02-26,7,B-flow,first_floor,134,402,61.65,3.0,1.0,134.0,0.99,1.4
EMMANO3,2026-02-26,8,B-flow,first_floor,15,15,5.16,1.0,1.0,15.0,0.74,0.47
EMMANO3,2026-02-26,12,B-flow,first_floor,17,17,7.23,1.0,1.0,17.0,0.91,0.47
FLAKSD2,2026-02-26,8,B-flow,second_floor,11,11,14.78,1.0,1.0,11.0,2.06,0.45
FLAKSD2,2026-02-26,9,B-flow,second_floor,34,59,22.68,1.74,1.0,34.0,1.02,0.78
FLAKSD2,2026-02-26,10,B-flow,second_floor,80,139,39.63,1.74,0.38,213.33,0.76,0.78
FLAKSD2,2026-02-26,10,unknown_flow,second_floor,2,2,0.71,1.0,0.38,5.33,0.6,0.59
FLAKSD2,2026-02-26,12,B-flow,second_floor,15,26,6.97,1.73,1.0,15.0,0.71,0.78
FURMAE2,2026-02-26,9,B-flow,second_floor,7,7,8.71,1.0,1.0,7.0,1.9,0.45
FURMAE2,2026-02-26,10,B-flow,second_floor,22,53,13.27,2.41,0.75,29.33,0.92,1.08
FURMAE2,2026-02-26,11,B-flow,second_floor,9,21,8.79,2.33,0.25,36.0,1.49,1.05
FURMAE2,2026-02-26,11,unknown_flow,second_floor,3,3,3.13,1.0,0.25,12.0,1.77,0.59
FURMAE2,2026-02-26,12,B-flow,second_floor,10,19,3.16,1.9,0.5,20.0,0.48,0.85
FURMAE2,2026-02-26,12,unknown_flow,second_floor,7,27,1.98,3.86,0.5,14.0,0.48,2.28
GAMBIA3,2026-02-26,7,A-flow,first_floor,26,73,56.56,2.81,1.0,26.0,1.67,1.83
GAMBIA3,2026-02-26,8,A-flow,first_floor,45,74,36.44,1.64,1.0,45.0,0.62,1.07
GAMBIA3,2026-02-26,9,A-flow,first_floor,50,50,69.67,1.0,1.0,50.0,1.07,0.65
GAMBIA3,2026-02-26,10,A-flow,first_floor,45,45,75.39,1.0,0.75,60.0,1.29,0.65
GAMBIA3,2026-02-26,11,A-flow,first_floor,12,12,23.95,1.0,0.5,24.0,1.54,0.65
GAMBIA3,2026-02-26,12,A-flow,first_floor,1,1,3.35,1.0,1.0,1.0,2.58,0.65
GHAMIR2,2026-02-26,7,B-flow,ground_floor,56,56,92.49,1.0,1.0,56.0,1.1,0.86
GHAMIR2,2026-02-26,8,B-flow,ground_floor,42,42,48.72,1.0,1.0,42.0,0.77,0.86
GRYGOA3,2026-02-26,7,A-flow,first_floor,42,119,22.71,2.83,1.0,42.0,0.42,1.84
GRYGOA3,2026-02-26,8,A-flow,first_floor,39,70,29.54,1.79,1.0,39.0,0.58,1.17
GRYGOA3,2026-02-26,9,A-flow,first_floor,24,92,30.17,3.83,1.0,24.0,0.97,2.5
GRYGOA3,2026-02-26,10,A-flow,first_floor,35,35,46.38,1.0,0.75,46.67,1.02,0.65
GRYGOA3,2026-02-26,11,A-flow,first_floor,12,12,2.46,1.0,0.5,24.0,0.16,0.65
GRYGOA3,2026-02-26,12,A-flow,first_floor,17,17,34.2,1.0,1.0,17.0,1.55,0.65
HRLOUB211,2026-02-26,7,A-flow,first_floor,16,16,18.18,1.0,1.0,16.0,0.87,0.65
HRLOUB27,2026-02-26,9,B-flow,first_floor,10,10,2.52,1.0,1.0,10.0,0.54,0.47
HRYTSD2,2026-02-26,7,A-flow,first_floor,21,21,27.39,1.0,1.0,21.0,1.0,0.65
HRYTSD2,2026-02-26,8,A-flow,first_floor,44,117,51.64,2.66,1.0,44.0,0.9,1.73
HRYTSD2,2026-02-26,9,A-flow,first_floor,15,33,25.37,2.2,1.0,15.0,1.3,1.43
HRYTSD2,2026-02-26,10,A-flow,first_floor,55,55,67.52,1.0,0.75,73.33,0.94,0.65
HRYTSD2,2026-02-26,11,A-flow,first_floor,11,11,8.88,1.0,0.5,22.0,0.62,0.65
HRYTSD2,2026-02-26,12,A-flow,first_floor,15,15,23.66,1.0,1.0,15.0,1.21,0.65
IACOBC2,2026-02-26,9,B-flow,first_floor,58,78,19.91,1.34,1.0,58.0,0.74,0.63
IACOBC2,2026-02-26,10,B-flow,first_floor,40,337,15.57,8.43,0.38,106.67,0.83,3.93
IACOBC2,2026-02-26,10,unknown_flow,first_floor,2,56,0.68,28.0,0.38,5.33,0.49,2.48
IACOBC2,2026-02-26,11,B-flow,first_floor,46,122,25.18,2.65,0.5,92.0,1.17,1.24
IACOBC2,2026-02-26,12,B-flow,first_floor,38,38,16.75,1.0,1.0,38.0,0.94,0.47
ILIEL3,2026-02-26,7,B-flow,second_floor,6,120,10.85,20.0,1.0,6.0,2.77,8.96
ILIEL3,2026-02-26,8,B-flow,second_floor,39,48,12.36,1.23,1.0,39.0,0.49,0.55
JERENS2,2026-02-26,7,B-flow,second_floor,59,245,43.49,4.15,0.5,118.0,1.13,1.86
JERENS2,2026-02-26,7,unknown_flow,second_floor,8,8,4.34,1.0,0.5,16.0,0.92,0.59
JERENS2,2026-02-26,8,B-flow,second_floor,43,135,23.35,3.14,0.5,86.0,0.83,1.41
JERENS2,2026-02-26,8,unknown_flow,second_floor,7,7,9.06,1.0,0.5,14.0,2.19,0.59
JERENS2,2026-02-26,9,B-flow,second_floor,43,126,36.5,2.93,1.0,43.0,1.3,1.31
JERENS2,2026-02-26,10,B-flow,second_floor,67,104,37.18,1.55,0.38,178.67,0.85,0.7
JERENS2,2026-02-26,10,unknown_flow,second_floor,2,2,0.79,1.0,0.38,5.33,0.67,0.59
JERENS2,2026-02-26,11,B-flow,second_floor,24,32,37.8,1.33,0.5,48.0,2.41,0.6
JERENS2,2026-02-26,12,B-flow,second_floor,7,19,8.45,2.71,1.0,7.0,1.85,1.22
KRAVCS2,2026-02-26,7,A-flow,second_floor,26,37,17.52,1.42,1.0,26.0,0.89,1.02
KRAVCS2,2026-02-26,8,A-flow,second_floor,84,119,75.58,1.42,1.0,84.0,1.19,1.01
KRAVCS2,2026-02-26,9,A-flow,second_floor,22,52,24.69,2.36,1.0,22.0,1.49,1.69
KRAVCS2,2026-02-26,10,A-flow,second_floor,59,59,36.88,1.0,0.75,78.67,0.83,0.72
KRAVCS2,2026-02-26,11,A-flow,second_floor,4,4,3.71,1.0,0.5,8.0,1.23,0.72
KRAVCS2,2026-02-26,12,A-flow,second_floor,39,56,16.85,1.44,1.0,39.0,0.57,1.03
KRUMIV2,2026-02-26,7,B-flow,second_floor,64,381,58.82,5.95,1.0,64.0,1.41,2.67
KRUMIV2,2026-02-26,8,B-flow,second_floor,63,82,25.76,1.3,1.0,63.0,0.63,0.58
KRUMIV2,2026-02-26,9,B-flow,second_floor,73,221,41.69,3.03,1.0,73.0,0.87,1.36
KRUMIV2,2026-02-26,10,B-flow,second_floor,70,109,41.12,1.56,0.75,93.33,0.9,0.7
KRUMIV2,2026-02-26,11,B-flow,second_floor,9,12,11.25,1.33,0.5,18.0,1.91,0.6
KRUMIV2,2026-02-26,12,B-flow,second_floor,44,44,21.12,1.0,1.0,44.0,0.73,0.45
MIELNK2,2026-02-26,7,B-flow,first_floor,78,125,34.84,1.6,1.0,78.0,0.96,0.75
MIELNK2,2026-02-26,8,B-flow,first_floor,78,82,24.59,1.05,1.0,78.0,0.68,0.49
MIELNK2,2026-02-26,9,B-flow,first_floor,46,46,79.13,1.0,1.0,46.0,3.69,0.47
MIELNK2,2026-02-26,10,B-flow,first_floor,37,46,54.06,1.24,0.75,49.33,3.13,0.58
MUSIIM2,2026-02-26,7,A-flow,ground_floor,64,64,125.44,1.0,1.0,64.0,0.69,1.0
MUSIIM2,2026-02-26,8,A-flow,ground_floor,49,49,97.98,1.0,1.0,49.0,0.71,1.0
MUSIIM2,2026-02-26,9,A-flow,ground_floor,6,6,14.77,1.0,1.0,6.0,0.87,1.0
MUSIIM2,2026-02-26,10,A-flow,ground_floor,40,40,61.39,1.0,0.75,53.33,0.54,1.0
MUSIIM2,2026-02-26,12,A-flow,ground_floor,16,16,35.26,1.0,1.0,16.0,0.78,1.0
NAGYK2,2026-02-26,8,B-flow,second_floor,3,3,1.0,1.0,1.0,3.0,0.51,0.45
NAGYK2,2026-02-26,9,B-flow,second_floor,8,8,2.97,1.0,1.0,8.0,0.57,0.45
NAGYK2,2026-02-26,10,B-flow,second_floor,5,5,1.69,1.0,0.38,13.33,0.52,0.45
NAGYK2,2026-02-26,10,unknown_flow,second_floor,2,2,0.71,1.0,0.38,5.33,0.6,0.59
NAGYK2,2026-02-26,11,B-flow,second_floor,11,25,5.03,2.27,0.5,22.0,0.7,1.02
OFFERR2,2026-02-26,7,B-flow,second_floor,61,335,53.11,5.49,1.0,61.0,1.33,2.46
OFFERR2,2026-02-26,9,B-flow,ground_floor,21,21,66.0,1.0,0.5,42.0,2.09,0.86
OFFERR2,2026-02-26,9,B-flow,second_floor,54,58,31.29,1.07,0.5,108.0,0.89,0.48
OFFERR2,2026-02-26,10,B-flow,ground_floor,4,4,4.81,1.0,0.75,5.33,0.8,0.86
OFFERR2,2026-02-26,11,B-flow,ground_floor,53,53,98.57,1.0,0.5,106.0,1.24,0.86
OFFERR2,2026-02-26,12,B-flow,ground_floor,40,40,10.64,1.0,1.0,40.0,0.18,0.86
PAPADV3,2026-02-26,9,B-flow,ground_floor,1,1,1.15,1.0,1.0,1.0,0.76,0.86
PARTYA2,2026-02-26,8,B-flow,ground_floor,3,3,3.76,1.0,1.0,3.0,0.83,0.86
