QNAME,QDATU,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,RATIO,EFFORT,PRODUCTIVITY
ABDIM11,2026-02-23,B-flow,ground_floor,105,838,7.98,2.25,46.67
ANDRUK3,2026-02-23,A-flow,ground_floor,3,45,15.0,2.0,1.5
ANGELD6,2026-02-23,B-flow,ground_floor,45,437,9.71,0.5,90.0
BUDIAO2,2026-02-23,B-flow,ground_floor,25,175,7.0,0.5,50.0
COMSAG2,2026-02-23,unknown_flow,ground_floor,1,1,1.0,1.0,1.0
GORZKG2,2026-02-23,A-flow,ground_floor,2,31,15.5,1.0,2.0
GOYKEP2,2026-02-23,A-flow,ground_floor,1,10,10.0,1.0,1.0
HAMERP2,2026-02-23,B-flow,ground_floor,3,38,12.67,0.5,6.0
HRLOUB12,2026-02-23,B-flow,ground_floor,218,4088,18.75,6.25,34.88
HRLOUB21,2026-02-23,B-flow,ground_floor,187,1669,8.93,5.25,35.62
HRLOUB248,2026-02-23,B-flow,ground_floor,44,590,13.41,1.25,35.2
HRLOUB27,2026-02-23,B-flow,ground_floor,229,2981,13.02,5.25,43.62
HRLOUB33,2026-02-23,B-flow,ground_floor,181,1876,10.36,5.25,34.48
HRLOUB40,2026-02-23,B-flow,ground_floor,37,205,5.54,0.5,74.0
HRLOUB67,2026-02-23,B-flow,ground_floor,50,266,5.32,1.25,40.0
IACOBC2,2026-02-23,A-flow,ground_floor,57,81,1.42,3.5,16.29
IACOBI2,2026-02-23,B-flow,ground_floor,223,3255,14.6,5.25,42.48
KAROLA2,2026-02-23,B-flow,ground_floor,119,1875,15.76,4.25,28.0
KAZNOO2,2026-02-23,B-flow,ground_floor,186,2456,13.2,4.25,43.76
KYTSAR2,2026-02-23,B-flow,ground_floor,85,1038,12.21,1.25,68.0
MATHOM2,2026-02-23,A-flow,ground_floor,6,120,20.0,2.0,3.0
MOLENK3,2026-02-23,B-flow,ground_floor,115,846,7.36,2.25,51.11
NEOFYA2,2026-02-23,unknown_flow,ground_floor,12,61,5.08,2.0,6.0
PALADM2,2026-02-23,B-flow,ground_floor,33,536,16.24,0.5,66.0
PALUNI2,2026-02-23,A-flow,ground_floor,68,284,4.18,2.5,27.2
ROMANM50,2026-02-23,B-flow,ground_floor,76,1178,15.5,2.25,33.78
SHYTYO2,2026-02-23,A-flow,ground_floor,134,658,4.91,6.25,21.44
SIMIRM2,2026-02-23,A-flow,ground_floor,3,150,50.0,1.0,3.0
SOCHAE4,2026-02-23,B-flow,ground_floor,432,5885,13.62,5.25,82.29
TANASS2,2026-02-23,A-flow,ground_floor,43,136,3.16,1.0,43.0
TSIOUP2,2026-02-23,B-flow,ground_floor,52,494,9.5,0.5,104.0
VARAVS2,2026-02-23,B-flow,ground_floor,231,3848,16.66,5.25,44.0
VEERK2,2026-02-23,B-flow,ground_floor,208,2719,13.07,6.25,33.28
VILKHA2,2026-02-23,B-flow,ground_floor,63,2335,37.06,0.5,126.0
VOROSK2,2026-02-23,B-flow,ground_floor,211,2780,13.18,6.25,33.76
VYSOCV2,2026-02-23,B-flow,ground_floor,31,383,12.35,1.0,31.0
WILLES10,2026-02-23,A-flow,ground_floor,4,108,27.0,2.0,2.0
WILLES10,2026-02-23,B-flow,ground_floor,1,1,1.0,1.0,1.0
ZANE2,2026-02-23,B-flow,ground_floor,59,1295,21.95,0.5,118.0
