QNAME,QDATU,HOUR,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,RATIO,EFFORT,PRODUCTIVITY
ABDIM11,2026-02-23,7,B-flow,ground_floor,42,435,10.36,0.5,84.0
ABDIM11,2026-02-23,8,B-flow,ground_floor,33,212,6.42,0.75,44.0
ABDIM11,2026-02-23,9,B-flow,ground_floor,30,191,6.37,1.0,30.0
ANDRUK3,2026-02-23,11,A-flow,ground_floor,2,20,10.0,1.0,2.0
ANDRUK3,2026-02-23,12,A-flow,ground_floor,1,25,25.0,1.0,1.0
ANGELD6,2026-02-23,7,B-flow,ground_floor,45,437,9.71,0.5,90.0
BUDIAO2,2026-02-23,7,B-flow,ground_floor,25,175,7.0,0.5,50.0
COMSAG2,2026-02-23,9,unknown_flow,ground_floor,1,1,1.0,1.0,1.0
GORZKG2,2026-02-23,12,A-flow,ground_floor,2,31,15.5,1.0,2.0
GOYKEP2,2026-02-23,10,A-flow,ground_floor,1,10,10.0,1.0,1.0
HAMERP2,2026-02-23,7,B-flow,ground_floor,3,38,12.67,0.5,6.0
HRLOUB12,2026-02-23,7,B-flow,ground_floor,48,914,19.04,0.5,96.0
HRLOUB12,2026-02-23,8,B-flow,ground_floor,39,604,15.49,0.75,52.0
HRLOUB12,2026-02-23,9,B-flow,ground_floor,29,744,25.66,1.0,29.0
HRLOUB12,2026-02-23,10,B-flow,ground_floor,28,674,24.07,1.0,28.0
HRLOUB12,2026-02-23,11,B-flow,ground_floor,24,213,8.88,1.0,24.0
HRLOUB12,2026-02-23,12,B-flow,ground_floor,37,742,20.05,1.0,37.0
HRLOUB12,2026-02-23,13,B-flow,ground_floor,13,197,15.15,1.0,13.0
HRLOUB21,2026-02-23,7,B-flow,ground_floor,39,267,6.85,0.5,78.0
HRLOUB21,2026-02-23,8,B-flow,ground_floor,35,458,13.09,0.75,46.67
HRLOUB21,2026-02-23,9,B-flow,ground_floor,24,138,5.75,1.0,24.0
HRLOUB21,2026-02-23,10,B-flow,ground_floor,46,456,9.91,1.0,46.0
HRLOUB21,2026-02-23,11,B-flow,ground_floor,1,1,1.0,1.0,1.0
HRLOUB21,2026-02-23,12,B-flow,ground_floor,42,349,8.31,1.0,42.0
HRLOUB248,2026-02-23,7,B-flow,ground_floor,31,443,14.29,0.5,62.0
HRLOUB248,2026-02-23,8,B-flow,ground_floor,13,147,11.31,0.75,17.33
HRLOUB27,2026-02-23,7,B-flow,ground_floor,47,839,17.85,0.5,94.0
HRLOUB27,2026-02-23,8,B-flow,ground_floor,30,284,9.47,0.75,40.0
HRLOUB27,2026-02-23,9,B-flow,ground_floor,31,473,15.26,1.0,31.0
HRLOUB27,2026-02-23,10,B-flow,ground_floor,43,489,11.37,1.0,43.0
HRLOUB27,2026-02-23,11,B-flow,ground_floor,23,201,8.74,1.0,23.0
HRLOUB27,2026-02-23,12,B-flow,ground_floor,55,695,12.64,1.0,55.0
HRLOUB33,2026-02-23,7,B-flow,ground_floor,57,296,5.19,0.5,114.0
HRLOUB33,2026-02-23,8,B-flow,ground_floor,29,232,8.0,0.75,38.67
HRLOUB33,2026-02-23,9,B-flow,ground_floor,29,512,17.66,1.0,29.0
HRLOUB33,2026-02-23,10,B-flow,ground_floor,8,105,13.12,1.0,8.0
HRLOUB33,2026-02-23,11,B-flow,ground_floor,24,355,14.79,1.0,24.0
HRLOUB33,2026-02-23,12,B-flow,ground_floor,34,376,11.06,1.0,34.0
HRLOUB40,2026-02-23,7,B-flow,ground_floor,37,205,5.54,0.5,74.0
HRLOUB67,2026-02-23,7,B-flow,ground_floor,15,36,2.4,0.5,30.0
HRLOUB67,2026-02-23,8,B-flow,ground_floor,35,230,6.57,0.75,46.67
IACOBC2,2026-02-23,7,A-flow,ground_floor,1,25,25.0,0.5,2.0
IACOBC2,2026-02-23,11,A-flow,ground_floor,16,16,1.0,1.0,16.0
IACOBC2,2026-02-23,12,A-flow,ground_floor,34,34,1.0,1.0,34.0
IACOBC2,2026-02-23,13,A-flow,ground_floor,6,6,1.0,1.0,6.0
IACOBI2,2026-02-23,7,B-flow,ground_floor,52,1019,19.6,0.5,104.0
IACOBI2,2026-02-23,8,B-flow,ground_floor,66,642,9.73,0.75,88.0
IACOBI2,2026-02-23,9,B-flow,ground_floor,52,653,12.56,1.0,52.0
IACOBI2,2026-02-23,10,B-flow,ground_floor,32,535,16.72,1.0,32.0
IACOBI2,2026-02-23,11,B-flow,ground_floor,1,24,24.0,1.0,1.0
IACOBI2,2026-02-23,12,B-flow,ground_floor,20,382,19.1,1.0,20.0
KAROLA2,2026-02-23,7,B-flow,ground_floor,24,224,9.33,0.5,48.0
KAROLA2,2026-02-23,8,B-flow,ground_floor,28,507,18.11,0.75,37.33
KAROLA2,2026-02-23,9,B-flow,ground_floor,6,152,25.33,1.0,6.0
KAROLA2,2026-02-23,10,B-flow,ground_floor,19,162,8.53,1.0,19.0
KAROLA2,2026-02-23,12,B-flow,ground_floor,42,830,19.76,1.0,42.0
