QNAME,QDATU,FLOW,FLOOR,BOXES_PACKED,EFFORT,PRODUCTIVITY
ANDRUK3,20260226,A-flow,ground_floor,37,5.25,7.05
CHROBJ2,20260226,B-flow,ground_floor,163,4.25,38.35
DOROBA2,20260226,A-flow,ground_floor,8,0.75,10.67
FALHIT2,20260226,A-flow,ground_floor,20,5.25,3.81
GARCIM424,20260226,A-flow,ground_floor,63,2.75,22.91
GEORGA19,20260226,A-flow,ground_floor,77,4.5,17.11
GLISZP2,20260226,A-flow,ground_floor,62,6.0,10.33
GNANAG2,20260226,B-flow,ground_floor,87,7.0,12.43
GODLEL2,20260226,A-flow,ground_floor,22,4.25,5.18
GOMEZG51,20260226,A-flow,ground_floor,51,5.25,9.71
GOYKEP2,20260226,A-flow,ground_floor,33,7.0,4.71
HRLOUB59,20260226,A-flow,ground_floor,4,1.0,4.0
HRLOUB67,20260226,B-flow,ground_floor,52,5.0,10.4
IACOBI2,20260226,B-flow,ground_floor,4,1.0,4.0
KANIAR2,20260226,A-flow,ground_floor,159,8.0,19.88
KLIMOA2,20260226,A-flow,ground_floor,1,0.5,2.0
KYROUN2,20260226,A-flow,ground_floor,127,7.0,18.14
MACAAS2,20260226,A-flow,ground_floor,36,5.75,6.26
MORENK20,20260226,A-flow,ground_floor,257,8.0,32.12
OLIVIJ3,20260226,B-flow,ground_floor,86,5.25,16.38
OSTAPO2,20260226,A-flow,ground_floor,45,2.25,20.0
PAPANR2,20260226,A-flow,ground_floor,77,5.0,15.4
ROMANM50,20260226,B-flow,ground_floor,76,4.0,19.0
SHUSHV2,20260226,A-flow,ground_floor,10,1.0,10.0
SIEKIS2,20260226,B-flow,ground_floor,2,0.5,4.0
SIMIRM2,20260226,A-flow,ground_floor,226,6.5,34.77
SKITIE2,20260226,A-flow,ground_floor,171,5.0,34.2
SOLERA3,20260226,B-flow,ground_floor,2,2.0,1.0
STIPIA2,20260226,B-flow,ground_floor,5,3.75,1.33
TANASS2,20260226,A-flow,ground_floor,7,1.5,4.67
VINKOV2,20260226,A-flow,ground_floor,27,8.0,3.38
VROMEJ2,20260226,B-flow,ground_floor,129,7.0,18.43
WEBMREMOTEWS,20260226,B-flow,ground_floor,3916,14.5,270.07
