QNAME,QDATU,HOUR,FLOW,FLOOR,BOXES_PACKED,EFFORT,PRODUCTIVITY
ANDRUK3,20260226,7,A-flow,ground_floor,12,1.0,12.0
ANDRUK3,20260226,8,A-flow,ground_floor,7,1.0,7.0
ANDRUK3,20260226,9,A-flow,ground_floor,2,1.0,2.0
ANDRUK3,20260226,10,A-flow,ground_floor,2,0.75,2.67
ANDRUK3,20260226,11,A-flow,ground_floor,13,0.5,26.0
CHROBJ2,20260226,11,B-flow,ground_floor,15,0.5,30.0
CHROBJ2,20260226,12,B-flow,ground_floor,11,1.0,11.0
FALHIT2,20260226,8,A-flow,ground_floor,6,1.0,6.0
FALHIT2,20260226,9,A-flow,ground_floor,1,1.0,1.0
FALHIT2,20260226,10,A-flow,ground_floor,3,0.75,4.0
FALHIT2,20260226,11,A-flow,ground_floor,3,0.5,6.0
GOMEZG51,20260226,7,A-flow,ground_floor,4,1.0,4.0
GOMEZG51,20260226,8,A-flow,ground_floor,2,1.0,2.0
GOMEZG51,20260226,9,A-flow,ground_floor,5,1.0,5.0
GOMEZG51,20260226,10,A-flow,ground_floor,6,0.75,8.0
GOMEZG51,20260226,11,A-flow,ground_floor,19,0.5,38.0
GOMEZG51,20260226,12,A-flow,ground_floor,7,1.0,7.0
GOYKEP2,20260226,7,A-flow,ground_floor,22,1.0,22.0
GOYKEP2,20260226,8,A-flow,ground_floor,3,1.0,3.0
GOYKEP2,20260226,9,A-flow,ground_floor,2,1.0,2.0
GOYKEP2,20260226,10,A-flow,ground_floor,1,0.75,1.33
GOYKEP2,20260226,11,A-flow,ground_floor,1,0.5,2.0
GOYKEP2,20260226,12,A-flow,ground_floor,1,1.0,1.0
HRLOUB67,20260226,8,B-flow,ground_floor,15,1.0,15.0
HRLOUB67,20260226,9,B-flow,ground_floor,5,1.0,5.0
HRLOUB67,20260226,10,B-flow,ground_floor,9,0.75,12.0
HRLOUB67,20260226,11,B-flow,ground_floor,2,0.5,4.0
HRLOUB67,20260226,12,B-flow,ground_floor,7,1.0,7.0
KLIMOA2,20260226,11,A-flow,ground_floor,1,0.5,2.0
KYROUN2,20260226,9,A-flow,ground_floor,3,1.0,3.0
KYROUN2,20260226,10,A-flow,ground_floor,28,0.75,37.33
KYROUN2,20260226,11,A-flow,ground_floor,11,0.5,22.0
KYROUN2,20260226,12,A-flow,ground_floor,2,1.0,2.0
MACAAS2,20260226,8,A-flow,ground_floor,4,1.0,4.0
OSTAPO2,20260226,10,A-flow,ground_floor,17,0.75,22.67
OSTAPO2,20260226,11,A-flow,ground_floor,7,0.5,14.0
OSTAPO2,20260226,12,A-flow,ground_floor,5,1.0,5.0
ROMANM50,20260226,9,B-flow,ground_floor,33,1.0,33.0
ROMANM50,20260226,10,B-flow,ground_floor,37,0.75,49.33
ROMANM50,20260226,11,B-flow,ground_floor,2,0.5,4.0
ROMANM50,20260226,12,B-flow,ground_floor,2,1.0,2.0
SIMIRM2,20260226,7,A-flow,ground_floor,4,1.0,4.0
SIMIRM2,20260226,8,A-flow,ground_floor,1,1.0,1.0
SIMIRM2,20260226,9,A-flow,ground_floor,57,1.0,57.0
SIMIRM2,20260226,10,A-flow,ground_floor,1,0.75,1.33
SIMIRM2,20260226,12,A-flow,ground_floor,76,1.0,76.0
SKITIE2,20260226,10,A-flow,ground_floor,1,0.75,1.33
SKITIE2,20260226,11,A-flow,ground_floor,29,0.5,58.0
SKITIE2,20260226,12,A-flow,ground_floor,35,1.0,35.0
TANASS2,20260226,11,A-flow,ground_floor,3,0.5,6.0
TANASS2,20260226,12,A-flow,ground_floor,4,1.0,4.0
VINKOV2,20260226,7,A-flow,ground_floor,2,1.0,2.0
VINKOV2,20260226,8,A-flow,ground_floor,3,1.0,3.0
VINKOV2,20260226,9,A-flow,ground_floor,3,1.0,3.0
VINKOV2,20260226,10,A-flow,ground_floor,3,0.75,4.0
VINKOV2,20260226,11,A-flow,ground_floor,1,0.5,2.0
VINKOV2,20260226,12,A-flow,ground_floor,1,1.0,1.0
VROMEJ2,20260226,7,B-flow,ground_floor,2,1.0,2.0
VROMEJ2,20260226,9,B-flow,ground_floor,29,1.0,29.0
VROMEJ2,20260226,10,B-flow,ground_floor,21,0.75,28.0
VROMEJ2,20260226,11,B-flow,ground_floor,18,0.5,36.0
VROMEJ2,20260226,12,B-flow,ground_floor,10,1.0,10.0
WEBMREMOTEWS,20260226,6,B-flow,ground_floor,21,1.0,21.0
WEBMREMOTEWS,20260226,7,B-flow,ground_floor,291,1.0,291.0
WEBMREMOTEWS,20260226,8,B-flow,ground_floor,402,1.0,402.0
WEBMREMOTEWS,20260226,9,B-flow,ground_floor,275,1.0,275.0
WEBMREMOTEWS,20260226,10,B-flow,ground_floor,233,0.75,310.67
WEBMREMOTEWS,20260226,11,B-flow,ground_floor,189,0.5,378.0
