QNAME,QDATU,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,WEIGHT_PICKED,EFFORT,RATIO,PRODUCTIVITY,WEIGHT_INTENSITY,ITEM_INTENSITY
ABDIM11,2026-02-26,B-flow,ground_floor,84,848,148.77,2.5,10.1,33.6,0.89,0.76
ANGELD6,2026-02-26,B-flow,ground_floor,34,590,47.85,1.0,17.35,34.0,0.71,1.31
BARBUB2,2026-02-26,unknown_flow,ground_floor,1,1,0.22,1.0,1.0,1.0,0.03,0.07
BUDIAO2,2026-02-26,B-flow,ground_floor,22,111,40.58,1.0,5.05,22.0,0.93,0.38
CHROBJ2,2026-02-26,B-flow,ground_floor,59,953,93.15,2.0,16.15,29.5,0.79,1.22
GORZKG2,2026-02-26,A-flow,ground_floor,10,59,510.99,1.5,5.9,6.67,4.72,0.57
GORZKG2,2026-02-26,B-flow,ground_floor,1,1,40.0,1.0,1.0,1.0,20.07,0.08
GORZKG2,2026-02-26,unknown_flow,ground_floor,1,1,0.61,0.5,1.0,2.0,0.08,0.07
HAMERP2,2026-02-26,A-flow,ground_floor,35,244,91.72,1.88,6.97,18.62,0.24,0.67
HAMERP2,2026-02-26,B-flow,ground_floor,160,2111,246.57,3.38,13.19,47.34,0.77,0.99
HRLOSO04,2026-02-26,B-flow,ground_floor,1,36,2.4,1.0,36.0,1.0,1.2,2.71
HRLOUB12,2026-02-26,A-flow,ground_floor,20,181,61.11,0.88,9.05,22.73,0.28,0.87
HRLOUB12,2026-02-26,B-flow,ground_floor,203,2128,324.59,4.38,10.48,46.35,0.8,0.79
HRLOUB21,2026-02-26,A-flow,ground_floor,39,259,90.76,1.38,6.64,28.26,0.22,0.64
HRLOUB21,2026-02-26,B-flow,ground_floor,135,1298,319.97,3.38,9.61,39.94,1.19,0.72
HRLOUB248,2026-02-26,B-flow,ground_floor,119,1048,156.44,5.25,8.81,22.67,0.66,0.66
HRLOUB27,2026-02-26,B-flow,ground_floor,74,637,133.71,3.0,8.61,24.67,0.91,0.65
