QNAME,QDATU,HOUR,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,WEIGHT_PICKED,RATIO,EFFORT,PRODUCTIVITY,WEIGHT_INTENSITY,ITEM_INTENSITY
ABDIM11,2026-02-26,7,B-flow,ground_floor,5,38,4.93,7.6,1.0,5.0,0.49,0.57
ABDIM11,2026-02-26,8,B-flow,ground_floor,36,138,41.85,3.83,1.0,36.0,0.58,0.29
ABDIM11,2026-02-26,11,B-flow,ground_floor,43,672,101.99,15.63,0.5,86.0,1.19,1.18
ANGELD6,2026-02-26,7,B-flow,ground_floor,34,590,47.85,17.35,1.0,34.0,0.71,1.31
BARBUB2,2026-02-26,8,unknown_flow,ground_floor,1,1,0.22,1.0,1.0,1.0,0.03,0.07
BUDIAO2,2026-02-26,7,B-flow,ground_floor,22,111,40.58,5.05,1.0,22.0,0.93,0.38
CHROBJ2,2026-02-26,7,B-flow,ground_floor,32,408,59.03,12.75,1.0,32.0,0.93,0.96
CHROBJ2,2026-02-26,8,B-flow,ground_floor,27,545,34.12,20.19,1.0,27.0,0.63,1.52
GORZKG2,2026-02-26,7,B-flow,ground_floor,1,1,40.0,1.0,1.0,1.0,20.07,0.08
GORZKG2,2026-02-26,8,A-flow,ground_floor,5,23,502.39,4.6,1.0,5.0,9.29,0.44
GORZKG2,2026-02-26,9,A-flow,ground_floor,5,36,8.6,7.2,0.5,10.0,0.16,0.69
GORZKG2,2026-02-26,9,unknown_flow,ground_floor,1,1,0.61,1.0,0.5,2.0,0.08,0.07
HAMERP2,2026-02-26,7,B-flow,ground_floor,61,1147,44.44,18.8,1.0,61.0,0.37,1.42
HAMERP2,2026-02-26,8,B-flow,ground_floor,36,366,59.4,10.17,1.0,36.0,0.83,0.77
HAMERP2,2026-02-26,9,B-flow,ground_floor,29,382,106.92,13.17,1.0,29.0,1.85,0.99
HAMERP2,2026-02-26,10,A-flow,ground_floor,3,3,2.37,1.0,0.38,8.0,0.07,0.1
HAMERP2,2026-02-26,10,B-flow,ground_floor,34,216,35.81,6.35,0.38,90.67,0.53,0.48
